SATISFACTION_WITH_FINANCIAL_CONDITION,SPENDING_COMPARISON_TO_INCOME,DIFFICULTY_COVERING_EXPENSES,FIN_ANXIETY,EMERGENCY_FUNDS,CONFIDENCE_GET_2000,CREDIT_RECORD_RATING,CHECKING_ACCOUNT,SAVINGS_ACCOUNT,OVERDRAW_CHECKING_ACCOUNT,REGULAR_CONTRIBUTION_TO_RETIREMENT,OTHER_INVESTMENTS,ALWAYS_PAY_CR_FULL_12MO,USED_PAYDAY_LOAN,DEBT_COLLECTED_12MO,TOO_MUCH_DEBT_STRENGTH,D2D_FINANCIAL_SKILL,FINANCIAL_KNOWLEDGE_ASSESS,RACE_ETHNICITY,EDUCATION_LEVEL,HIGHEST_EDUCATION_OF_RAISERS,NUM_DEPENDENT_CHILDREN,BINARIZED_GENDER,AGE,LAYOFF_PANDEMIC,EXPECT_INHERIT_10K_PLUS,STATE,FIN_ED_HS,Z,FIN_HEALTH
3.0,0.0,9.0,6.0,0.0,9.0,6.75,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,4.5,6.0,6.0,2,6,5.0,5,2,5,2.0,2.0,44,4.0,0,113.25
8.0,4.5,9.0,6.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,7.5,7.5,7.5,1,7,6.0,3,1,2,2.0,2.0,3,1.0,1,140.0
2.0,9.0,9.0,7.0,0.0,3.0,0.0,9.0,9.0,9.0,4.5,0.0,4.5,4.5,9.0,6.0,3.0,3.0,1,1,1.0,4,2,3,2.0,2.0,1,4.0,0,91.5
9.0,4.5,0.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,0.0,0.0,7.5,9.0,1,7,6.0,1,1,3,1.0,1.0,5,4.0,0,120.0
4.0,9.0,9.0,4.0,9.0,9.0,6.75,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,9.0,6.0,6.0,1,4,3.0,2,2,6,2.0,2.0,34,4.0,0,130.25
0.0,9.0,4.5,7.0,0.0,6.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,6.0,1,7,5.0,2,2,4,2.0,4.5,39,1.0,1,95.5
6.0,0.0,9.0,2.0,0.0,9.0,6.75,0.0,0.0,4.5,4.5,4.5,4.5,9.0,9.0,9.0,4.5,6.0,1,2,2.0,6,1,2,2.0,2.0,11,4.0,0,88.25
4.0,0.0,4.5,1.0,0.0,9.0,4.5,9.0,0.0,9.0,4.5,0.0,0.0,9.0,9.0,0.0,9.0,6.0,1,5,4.0,5,1,6,2.0,2.0,14,1.0,1,78.5
6.0,0.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,6.0,6.0,7.5,1,6,5.0,5,1,5,2.0,1.0,10,2.0,1,109.5
8.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,1,6,2.0,5,1,6,2.0,2.0,15,4.0,0,143.0
3.0,9.0,4.5,4.0,9.0,6.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,7.5,9.0,9.0,1,4,1.0,5,1,5,2.0,2.0,39,4.0,0,133.0
9.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,4.5,1,5,2.0,5,2,6,2.0,2.0,10,4.0,0,133.5
8.0,4.5,0.0,7.0,9.0,9.0,4.5,9.0,0.0,0.0,9.0,9.0,9.0,1.0,0.0,0.0,7.5,9.0,1,7,5.0,2,1,3,1.0,2.0,5,4.0,0,95.5
9.0,9.0,0.0,7.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,1,7,6.0,2,1,3,1.0,1.0,48,1.0,1,124.0
7.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,4.5,0.0,9.0,9.0,0.0,4.5,9.0,7.5,1,4,2.0,5,2,6,2.0,2.0,44,4.0,0,127.5
5.0,0.0,9.0,2.0,9.0,9.0,2.25,9.0,9.0,9.0,4.5,0.0,0.0,9.0,9.0,1.5,7.5,7.5,1,4,3.0,5,1,6,2.0,2.0,39,4.0,0,102.25
6.0,0.0,9.0,5.0,9.0,6.0,6.75,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,6.0,6.0,7.5,1,4,3.0,5,2,4,2.0,2.0,19,1.0,1,115.25
0.0,4.5,0.0,7.0,0.0,0.0,2.25,9.0,0.0,0.0,4.5,0.0,4.5,9.0,0.0,1.5,7.5,3.0,1,2,2.0,1,2,5,2.0,1.0,26,4.0,0,52.75
9.0,4.5,4.5,7.0,9.0,9.0,6.75,9.0,0.0,0.0,9.0,9.0,9.0,3.0,0.0,0.0,9.0,9.0,1,7,6.0,2,1,3,1.0,1.0,33,4.0,0,106.75
8.0,9.0,9.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,4.5,4.5,9.0,9.0,9.0,9.0,7.5,1,2,2.0,5,2,6,2.0,2.0,10,4.0,0,136.5
